               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036573,            0.019271,           0.0011908,             0.75253,             0.57144,             0.59728,              0.4132,            0.028949,            0.010878,          0.00074396,            0.006535,            0.006535,            0.006535
                  37,            0.035761,            0.018794,           0.0011951,             0.83952,             0.47661,             0.58233,             0.40427,            0.028883,            0.010617,          0.00072328,            0.006436,            0.006436,            0.006436
                  38,            0.036767,            0.018962,           0.0011427,             0.94215,             0.50779,             0.62181,             0.44133,            0.028992,            0.010758,          0.00072018,            0.006337,            0.006337,            0.006337
                  39,            0.035755,            0.019131,           0.0008731,             0.80275,             0.50245,             0.60865,             0.40976,            0.029083,             0.01057,          0.00062463,            0.006238,            0.006238,            0.006238
                  40,            0.034871,            0.018732,           0.0010305,             0.92497,             0.51882,             0.61574,              0.4203,            0.029413,            0.010821,          0.00067576,            0.006139,            0.006139,            0.006139
                  41,            0.035463,             0.01895,           0.0012391,              0.7684,             0.55716,             0.61908,             0.43083,            0.029535,            0.010797,          0.00073151,             0.00604,             0.00604,             0.00604
                  42,            0.035698,             0.01876,           0.0012549,               0.604,             0.54184,             0.55444,             0.38286,            0.029624,            0.011224,           0.0007164,            0.005941,            0.005941,            0.005941
                  43,            0.035381,            0.018901,           0.0010368,             0.69197,             0.59518,             0.63726,             0.44549,            0.028665,            0.010769,          0.00075159,            0.005842,            0.005842,            0.005842
                  44,            0.035112,            0.018711,           0.0011119,             0.81491,             0.50459,             0.61686,             0.43932,            0.029623,            0.010654,          0.00058732,            0.005743,            0.005743,            0.005743
                  45,            0.035089,            0.018413,           0.0010462,             0.60667,             0.57733,              0.6108,             0.42537,            0.028862,            0.010471,          0.00097596,            0.005644,            0.005644,            0.005644
                  46,            0.034993,            0.018178,            0.001024,             0.79104,             0.52415,             0.60701,             0.44359,            0.028524,            0.010756,          0.00082792,            0.005545,            0.005545,            0.005545
                  47,            0.034745,              0.0185,           0.0012082,             0.91973,             0.48598,             0.60794,             0.42876,            0.028508,            0.010789,          0.00077409,            0.005446,            0.005446,            0.005446
                  48,            0.034845,            0.018325,          0.00090534,             0.84584,             0.61883,             0.66422,             0.46684,            0.028755,            0.010427,          0.00059332,            0.005347,            0.005347,            0.005347
                  49,            0.034656,            0.018631,          0.00087135,             0.81702,             0.61794,             0.65947,             0.46268,            0.028644,            0.010501,          0.00054646,            0.005248,            0.005248,            0.005248
                  50,            0.034079,            0.018374,          0.00093592,             0.69219,             0.58388,             0.63217,             0.44822,            0.028284,            0.010725,          0.00062281,            0.005149,            0.005149,            0.005149
